modelo,tipo,preço_medio_reais,nota_global,som,anc,autonomia_horas,estilo,microfone,possui_modo_jogo,resistencia,link_review,link_amazon,link_importar,modo_ambiente,carrega_sem_fio,possui_anc,possui_modo_ambiente,possui_deteccao_uso,possui_atender_recusar,possui_play_pause,possui_avancar_musica,possui_retormar_musica,possui_chamar_assistente,possui_controle_volume,possui_configurar_toques,possui_multiponto,possui_deteccao_voz,possui_atendimento_automatico,possui_audio_espacial
HHOGene Gpods,Intra Auricular,690,8.75,8.75,8.75,5,Hastes,8.9,Não,IPX4,https://youtu.be/5YjkxHojYKY,https://amzn.to/3HJvc27,https://s.click.aliexpress.com/e/_DBdf0Nl,8.8,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
SoundPeats T3,Intra Auricular,240,8.73,8.75,8.75,6,Hastes,8.7,Não,IPX4,https://youtu.be/R0Cm0A6gRQE,https://amzn.to/3rd61vV,https://s.click.aliexpress.com/e/_DCKZcuj,8.5,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
SoundPeats Mini Pro HS,Intra Auricular,250,8.73,8.75,8.75,8,Cápsulas,8.7,Sim,IPX5,https://youtu.be/-UUqzeG0usQ,https://amzn.to/3XG5bXk,https://s.click.aliexpress.com/e/_DCEStr9,8.5,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
Soundcore Life P3i,Intra Auricular,300,8.73,8.75,8.75,9,Hastes,8.7,Não,IPX5,https://youtu.be/bF0pmt7o5rY,https://amzn.to/3J2gtPz,https://s.click.aliexpress.com/e/_Dn10a0b,8.5,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
SoundPeats Mini Pro,Intra Auricular,200,8.73,8.75,8.75,7,Cápsulas,8.7,Sim,IPX5,https://youtu.be/y3xa9yPVh80,https://amzn.to/3Ju5AED,https://s.click.aliexpress.com/e/_DCsJzBz,8.3,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
SoundPeats T2,Intra Auricular,260,8.73,8.75,8.75,10,Cápsulas,8.7,Não,IPX5,https://youtu.be/4QqGZSEHxPo,https://amzn.to/2YtYJcZ,https://s.click.aliexpress.com/e/_DkpMUub,8.3,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
Edifier TWS NB2 Pro,Intra Auricular,340,8.73,8.75,8.75,9,Hastes,8.7,Sim,IP54,https://youtu.be/U4eFI-Nr3YQ,https://amzn.to/3090HQp,https://s.click.aliexpress.com/e/_Dn1fwNd,8.7,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
Pamu Z1,Intra Auricular,345,8.73,8.75,8.75,6.5,Hastes,8.5,Sim,IPX4,https://youtu.be/d6z5a-H4bIo,https://amzn.to/3oKxup9,https://bit.ly/3SvJqYr,8.5,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
SoundPeats Capsule 3 Pro,Intra Auricular,290,8.73,8.75,8.7,8,Hastes,8.4,Sim,IPX4,https://youtu.be/csQfRxg0pfg,https://amzn.to/3HccP64,https://s.click.aliexpress.com/e/_Dmw5Vun,9,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
Ugreen HiTune X6,Intra Auricular,160,8.73,8.75,8.7,6,Hastes,8.7,Sim,IPX5,https://youtu.be/Oqrt860Yo9s,https://amzn.to/3FEqEHU,https://s.click.aliexpress.com/e/_DBugi2X,N/A,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Ugreen HiTune T3,Intra Auricular,210,8.73,8.75,8.7,7,Hastes,8.7,Não,N/A,https://youtu.be/HBDeXnMoHdI,https://amzn.to/3rTMr8t,https://s.click.aliexpress.com/e/_DmJMrJd,8.65,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Pamu Quiet Mini,Intra Auricular,395,8.73,8.75,8.6,4.5,Hastes,8.7,Sim,IPX4,https://youtu.be/CE1aDluS37Y,https://amzn.to/2WYsrpI,https://bit.ly/3BJEucy,8.75,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Stage Hero 6,Intra Auricular,200,8.73,8.75,8.6,6,Hastes,8.6,Sim,IPX5,https://youtu.be/HDLfKPUjGuA,https://amzn.to/3Y6oKJm,https://amzn.to/3Y6oKJm,8.5,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Moondrop Space Travel,Intra Auricular,150,8.73,8.75,8.5,4,Hastes,9,Sim,N/A,https://youtu.be/UWVF3UaaULs,https://amzn.to/3UGRyJ7,https://s.click.aliexpress.com/e/_DezvFkV,8.75,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
OneOdio Super EQ S10,Intra Auricular,150,8.73,8.75,8.5,6,Hastes,9.1,Sim,IPX5,https://youtu.be/NXM_xG2nchc,https://amzn.to/49HB1bR,https://s.click.aliexpress.com/e/_DD2r1HP,8.8,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Haylou Moripods ANC,Intra Auricular,190,8.73,8.75,8.3,10,Hastes,8.7,Sim,N/A,https://youtu.be/JXLdov7lkOA,https://amzn.to/3nD5VQb,https://s.click.aliexpress.com/e/_DdNClGn,8.5,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
